Dataset,Method,k,mean_prob_drop,std_prob_drop
HDFS,SHAP,1,0.010000116614520485,0.09949872890960583
HDFS,SHAP,2,-0.37499962690548583,0.5043557933124801
HDFS,SHAP,3,-0.37999957187427014,0.4955802779343728
HDFS,SHAP,5,-0.9799996243358595,0.1400011622431837
HDFS,SHAP,10,-0.984999755084894,0.12155243085101118
HDFS,LIME,1,0.004999999728133129,0.07053367606317526
HDFS,LIME,2,0.00499992689765273,0.07053368123347356
HDFS,LIME,3,0.004430194269962128,0.07103031618324443
HDFS,LIME,5,-0.08763501826251002,0.3141790526601396
HDFS,LIME,10,-0.40011547080085513,0.4999101061489831
HDFS,Random,1,-0.025000007153527796,0.15612488282529716
HDFS,Random,2,-0.05041254431358467,0.21792790530846667
HDFS,Random,3,-0.09041257426337182,0.28611106442218676
HDFS,Random,5,-0.12999987592102027,0.3363028557660181
HDFS,Random,10,-0.30500003216100935,0.46040690039284693
