n_estimators,learning_rate,num_leaves,test_f1,test_auc_roc
100,0.01,15,0.3724696356275304,0.7455015546576595
100,0.01,31,0.4265129682997118,0.7410068578553616
100,0.01,63,0.42226487523992323,0.7392331078948199
100,0.05,15,0.4220716360116166,0.7667991808453551
100,0.05,31,0.42613636363636365,0.7430158780264529
100,0.05,63,0.27294641201557573,0.7382621373780738
100,0.1,15,0.4254510921177588,0.7651441017708891
100,0.1,31,0.27464008859357697,0.7418743489377821
100,0.1,63,0.26840992116900597,0.7247564435430411
200,0.01,15,0.3773965691220989,0.7444956635310459
200,0.01,31,0.42196531791907516,0.7446713516840809
200,0.01,63,0.4314096499526963,0.7387694726790619
200,0.05,15,0.4250474383301708,0.7674143359954545
200,0.05,31,0.2741905642923219,0.7371865036775151
200,0.05,63,0.2736644798500469,0.7286847162157897
200,0.1,15,0.2748063445223165,0.7438560442248809
200,0.1,31,0.2743029389600603,0.7398341566968654
200,0.1,63,0.26827340971947844,0.7293396256194956
500,0.01,15,0.4220716360116166,0.7665855140629441
500,0.01,31,0.4269449715370019,0.7442117609457368
500,0.01,63,0.2728958101594364,0.7344408953881119
500,0.05,15,0.2757603686635945,0.7360311641781623
500,0.05,31,0.26787086856264414,0.7287478495217652
500,0.05,63,0.2661432777232581,0.7284672022475458
500,0.1,15,0.27540007443245257,0.7314820148994601
500,0.1,31,0.2677616501145913,0.7316215986931407
500,0.1,63,0.2672413793103448,0.7291093863442659
