Dataset,Model,EvalSet,N,N_Positive,F1,Precision,Recall,AUC_ROC
HDFS,LogisticRegression,val,86259.0,2607.0,0.9986561720099827,0.9996156802459646,0.997698504027618,0.9982769594479226
HDFS,LogisticRegression,test,86260.0,1116.0,0.9982078853046595,0.9982078853046595,0.9982078853046595,0.999181494172049
HDFS,RandomForest,val,86259.0,2607.0,0.9994242947610823,1.0,0.998849252013809,0.9999999449745142
HDFS,RandomForest,test,86260.0,1116.0,0.9986541049798116,1.0,0.9973118279569892,1.0
HDFS,LightGBM,val,86259.0,2607.0,0.9994242947610823,1.0,0.998849252013809,0.9999988949048253
HDFS,LightGBM,test,86260.0,1116.0,0.9986541049798116,1.0,0.9973118279569892,1.0
BGL,LogisticRegression,val,7122.0,631.0,0.8606856309263311,0.7972972972972973,0.9350237717908082,0.975540190843301
BGL,LogisticRegression,test,7122.0,802.0,0.281451464358077,0.1651177869029609,0.9526184538653366,0.7151807980049876
BGL,RandomForest,val,7122.0,631.0,0.9511184755592378,0.9965277777777778,0.9096671949286846,0.9978437778408774
BGL,RandomForest,test,7122.0,802.0,0.469811320754717,0.9651162790697675,0.3104738154613466,0.7793300569778087
BGL,LightGBM,val,7122.0,631.0,0.7366482504604052,0.6012024048096193,0.9508716323296355,0.9866075690319476
BGL,LightGBM,test,7122.0,802.0,0.2681992337164751,0.15844273426889996,0.8728179551122195,0.7301235637172889
OpenStack,LogisticRegression,cv_mean,517.25,1.0,0.004251109084576201,0.0021300824818506273,1.0,0.5210610558829263
OpenStack,LogisticRegression,cv_std,0.5,0.0,4.205731761519497e-05,2.1118340369364092e-05,0.0,0.00802263577903395
OpenStack,RandomForest,cv_mean,517.25,1.0,0.0,0.0,0.0,0.5711871935585444
OpenStack,RandomForest,cv_std,0.5,0.0,0.0,0.0,0.0,0.006364746024599655
OpenStack,LightGBM,cv_mean,517.25,1.0,0.0031737155585777645,0.001590222636506516,0.75,0.520373202584979
OpenStack,LightGBM,cv_std,0.5,0.0,0.002116121176342466,0.00106030482067583,0.5,0.04727028130438678
