rank,event_id,template_text,mean_shap,category
1,E18,data TLB error interrupt,0.0577376816978786,Hardware failure
2,E3,generating core.<NUM>,0.0505085098171956,Application error
3,E55,rts panic! - stopping execution,0.0095085878510227,Application error
4,E473,iar <*> dear <*>,0.0088448431582542,Unknown
5,E230,data storage interrupt,0.0081673977455061,Hardware failure
6,E298,<NUM> floating point alignment exceptions,0.0071653330093405,Application error
7,E6,"CE sym <NUM>, at <HEX>, mask <HEX>",0.0068713686545279,Hardware failure
8,E398,ciod: Error reading message prefix after <*> on CioStream socket to <IP>: <*> <*> <*> <*>,0.0065046150902978,Network fault
9,E1,instruction cache parity error corrected,0.0038643148524275,Hardware failure
10,E233,program interrupt: <*> <*>,0.0032898110446985,Hardware failure
11,E438,Lustre mount FAILED : bglio<NUM> : block_id : location,0.0028584564816546,Network fault
12,E23,instruction plb error.............<NUM>,0.0021642014711072,Application error
13,E11,<NUM> double-hummer alignment exceptions,0.0020116327131582,Application error
14,E21,machine check status register: <HEX>,0.0019964505092941,Hardware failure
15,E22,summary...........................<NUM>,0.0019050663588794,Unknown
